city,companyFullName,education,financeStage,jobNature,positionAdvantage,positionName,salary,workYear
北京,北京搜狗科技发展有限公司,本科,C轮,全职,技术先进、团队气氛佳,技术工程部-python开发工程师,20k-40k,3-5年
北京,北京车之家信息技术有限公司,本科,上市公司,全职,平台好，发展空间大,Python开发工程师,15k-25k,3-5年
北京,维我软件（上海）有限公司北京分公司,本科,上市公司,全职,"纽交所上市,云计算,股票,年度旅游",Python工程师,20k-30k,3-5年
深圳,深圳市明源云客电子商务有限公司,本科,上市公司,全职,技术导向，牛人多，氛围赞，扁平管理,高级Python开发工程师,16k-22k,3-5年
上海,上海基分文化传播有限公司,本科,不需要融资,全职,发展空间,Python开发工程师,15k-30k,5-10年
北京,北京优虎商务服务有限公司,本科,B轮,全职,"六险一金,超多假期",Python工程师,20k-35k,1-3年
成都,贝壳金控控股集团有限公司,本科,未融资,全职,业务发展前景好，团队技术氛围浓厚,高级Python工程师-CD2818,15k-25k,3-5年
北京,深信服科技股份有限公司,本科,不需要融资,全职,中国卓越雇主，扁平管理，有竞争力的薪资,Python开发工程师,12k-20k,1-3年
北京,北京国双科技有限公司,本科,上市公司,全职,上市公司 前景佳 氛围好 牛人多,Python研发工程师（北京）,10k-20k,1-3年
深圳,平安科技（深圳）有限公司,本科,不需要融资,全职,世界500强，丰厚奖金,Python开发工程师（深圳）,15k-30k,3-5年
北京,北京旷视科技有限公司,本科,C轮,全职,"人工智能,黑科技,大牛多",Python 高级开发工程师,20k-40k,3-5年
北京,掌阅科技股份有限公司,本科,不需要融资,全职,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大",高级Python研发工程师,25k-35k,3-5年
上海,上海贝涛金融信息服务有限公司,本科,A轮,全职,"商业保险,年度旅游,带薪年病假,弹性工作",高级Python研发工程师,15k-30k,3-5年
北京,北京新工场投资顾问有限公司,本科,A轮,全职,互联网金融 无天花板 六险一金 期权激励,高级python开发工程师,15k-30k,1-3年
北京,北京奇安信科技有限公司,本科,不需要融资,全职,公司平台好；技术氛围浓；福利待遇优厚,Python开发工程师,15k-30k,3-5年
北京,先花信息技术（北京）有限公司,不限,B轮,全职,"大牛云集,高速发展",Python中级工程师,15k-20k,3-5年
北京,北京轮子科技有限公司,本科,A轮,全职,"国内最强,生活人工智,高盛高管,普林大神",Python工程师,15k-25k,1-3年
上海,北京爱奇艺科技有限公司,本科,D轮及以上,全职,发展前景好,Python高级开发工程师,15k-30k,不限
北京,北京九州云动科技有限公司,本科,B轮,全职,海量数据、氛围轻松、项目奖金,Python,15k-30k,1-3年
深圳,深圳市和讯华谷信息技术有限公司,本科,D轮及以上,全职,五险一金、14薪/年、下午茶、工作餐等等,Python开发工程师（中级）,10k-15k,1-3年
北京,北京猎户星空科技有限公司,本科,A轮,全职,绩效奖金 午餐补助 年度旅游 人工智能领域,python开发工程师,15k-30k,不限
北京,广州杰颉软件科技有限公司,本科,A轮,全职,"发展空间大,工作氛围好,全员持股,管理规范",Python开发工程师,20k-25k,5-10年
深圳,北京国双科技有限公司,本科,上市公司,全职,大数据上市公司 福利待遇好 成长空间大,资深python开发工程师,15k-25k,5-10年
北京,北京旷视科技有限公司,本科,C轮,全职,大牛多,高级Python开发工程师,25k-50k,3-5年
北京,掌阅科技股份有限公司,本科,不需要融资,全职,"管理扁平化,发展机会佳,薪资待遇好",Python研发工程师（中高级）,15k-25k,3-5年
苏州,苏州锦佰安信息技术有限公司,本科,天使轮,全职,"人工智能,前景广阔,福利齐全,技术领先",Python开发工程师,12k-24k,3-5年
北京,北京趣拿软件科技有限公司,本科,不需要融资,全职,团队氛围融洽，帅哥美女多，年假多，年终奖,Python高级研发工程师-度假事业部(J11528),20k-40k,3-5年
杭州,武汉佰钧成技术有限责任公司,大专,不需要融资,全职,"周末双休,六险一金,技术提升",python开发工程师,11k-20k,1-3年
北京,宽拓（北京）科技有限公司,本科,A轮,全职,"人工智能,对接美国,不打卡,西直门地铁",Python,20k-40k,3-5年
武汉,武汉北蚁网络科技有限公司,大专,不需要融资,全职,"五险一金,员工旅游,休闲餐点,扁平管理",python工程师,8k-10k,3-5年
北京,北京搜狗科技发展有限公司,本科,C轮,全职,人工智能、最前沿技术能力、巨大成长空间,搜狗AI云-Python开发工程师,15k-25k,1-3年
上海,千言信息技术（上海）有限公司,本科,A轮,全职,"国际团队,全球用户,在线教育,文化驱动",Python,15k-30k,5-10年
上海,上海青客公共租赁住房租赁经营管理股份有限公司,本科,C轮,全职,年终奖，加班补贴，工作环境,python工程师,15k-25k,3-5年
北京,况客科技(北京)有限公司,本科,A轮,全职,"技术培养,能力提升,培养计划,福利好",Python 工程师,15k-30k,1-3年
深圳,上海奥飞游戏有限公司,大专,A轮,全职,"靠谱团队,项目给力,福利多多",Python开发工程师,10k-15k,1-3年
北京,北京墨迹风云科技股份有限公司,本科,C轮,全职,"弹性工作,晋升完善,免费健身,6险1金",Python 开发工程师,20k-35k,3-5年
北京,北京蚂蜂窝网络科技有限公司,本科,D轮及以上,全职,核心部门和岗位，股票期权,高级Python开发工程师,15k-30k,3-5年
深圳,深圳市和讯华谷信息技术有限公司,本科,D轮及以上,全职,五险一金、14薪/年、下午茶、工作餐等等,高级Python开发工程师,15k-25k,3-5年
深圳,北京国双科技有限公司,本科,上市公司,全职,弹性工作制 上市公司 氛围好 空间大,资深python研发工程师（深圳）,15k-25k,3-5年
北京,上海微创软件股份有限公司北京分公司,本科,不需要融资,全职,"六险一金,带薪年假,节日福利,技术大牛",Python工程师-赴码隆科技,10k-15k,1-3年
成都,杭州顺网科技股份有限公司,本科,上市公司,全职,"上市公司,大数据,大平台,福利健全",Python开发工程师,9k-16k,3-5年
北京,北京春雨天下软件有限公司,本科,C轮,全职,有挑战，自主加薪，技术氛围好,Python,20k-40k,3-5年
北京,北京爱咔咔信息技术有限公司,本科,A轮,全职,"北大团队,五百强大牛,期权奖励,专业培训",Python工程师,15k-30k,3-5年
上海,上海进馨网络科技有限公司,本科,B轮,全职,发展前景大、工作氛围好、技术牛人多,Python开发工程师,15k-25k,3-5年
北京,北京来也网络科技有限公司,本科,B轮,全职,"人工智能,弹性工作,扁平管理,技术牛人",Python开发工程师,15k-30k,1-3年
成都,成都市肆零肆网络科技有限公司,本科,未融资,全职,"双休,六险一金,无限饮料,内部交流",Python开发,10k-15k,1-3年
贵阳,贵州电子商务云运营有限责任公司,不限,未融资,全职,"五险一金,餐补",python工程师,10k-15k,不限
厦门,厦门视我科技有限公司,本科,不需要融资,全职,"弹性工作,扁平管理,家属福利,五险一金",Python工程师,10k-20k,3-5年
北京,会找房（北京）网络技术有限公司,本科,C轮,全职,"股票期权,弹性工作制,行业龙头,地铁周边",python开发工程师,15k-30k,3-5年
上海,通联数据股份公司,本科,不需要融资,全职,"快速成长,薪资福利,行业大牛",python开发工程师,15k-30k,1-3年
北京,北京嘉楠捷思信息技术有限公司,本科,A轮,全职,弹性,python开发工程师,15k-20k,3-5年
广州,广州玖维信息科技有限公司,大专,上市公司,全职,"周末双休,五险一金,节日福利,提供食宿",Python软件开发工程师,3k-5k,1年以下
深圳,北京国双科技有限公司,本科,上市公司,全职,上市公司 前景佳 氛围好 牛人多,高级Python开发工程师（深圳）,15k-20k,3-5年
广州,广州玖维信息科技有限公司,大专,上市公司,全职,"双休,提成,带薪休假,五险一金",Python软件开发工程师,4k-6k,1年以下
成都,成都数联铭品科技有限公司,硕士,C轮,全职,"五险一金,技术大牛,大数据,加班补贴",算法工程师（python）,8k-16k,不限
北京,北京第三石科技发展有限公司,本科,B轮,全职,浓厚的技术氛围，良好的发展前景，福利多多,【5Miles】Python开发工程师,15k-30k,3-5年
北京,北京果壳互动科技传媒有限公司,本科,C轮,全职,"八险一金,免费三餐,不加班,弹性工作",高级Python开发工程师,20k-40k,3-5年
北京,车好多旧机动车经纪(北京)有限公司,本科,B轮,全职,最高19薪 独角兽公司 学习型团队,Python开发工程师,20k-40k,3-5年
武汉,北京优帆科技有限公司,本科,D轮及以上,全职,"大牛团队,工程师文化,公司上升期",Python 研发工程师,12k-24k,1-3年
深圳,深圳虾皮信息科技有限公司,本科,上市公司,全职,东南亚跨境电商平台，发展非常迅速，求大牛,Python开发工程师（高级）,30k-50k,3-5年
武汉,武汉佰钧成技术有限责任公司,大专,不需要融资,全职,"牛人团队,薪资高,福利好",Python,15k-30k,3-5年
