序号,电影名,年份,类型,导演,评分
186,宾虚,1959,剧情/动作/历史,威廉·惠勒,豆瓣8.5/IMDB8.1
187,愤怒的葡萄,1940,剧情,约翰·福特,豆瓣8.4/IMDB8.2
188,忠犬八公的故事,2009,剧情,莱塞·霍尔斯道姆,豆瓣9.2/IMDB8.2
189,风之谷,1984,科幻/动画/奇幻,宫崎骏,豆瓣8.8/IMDB8.1
190,恶魔,1955,剧情/悬疑/惊悚,亨利-乔治·克鲁佐,豆瓣8.5/IMDB8.2
191,罪恶之城,2005,动作/惊悚/犯罪,弗兰克·米勒,豆瓣8.4/IMDB8.1
192,禁闭岛,2010,剧情/悬疑/惊悚,马丁·斯科塞斯,豆瓣8.6/IMDB8.1
193,潜行者,1979,剧情/科幻/悬疑,安德烈·塔科夫斯基,豆瓣8.8/IMDB8.2
194,黄金时代,1946,剧情/爱情/战争,威廉·惠勒,豆瓣8.1/IMDB8.2
195,绿野仙踪,1939,歌舞/奇幻/冒险,维克多·弗莱明,豆瓣8.1/IMDB8.1
196,甘地传,1982,剧情/传记/历史,理查德·阿滕伯勒,豆瓣8.6/IMDB8.1
197,八部半,1963,剧情/奇幻,费德里科·费里尼,豆瓣8.5/IMDB8.1
198,谍影重重3,2007,动作/悬疑/冒险,保罗·格林格拉斯,豆瓣8.7/IMDB8.1
199,死亡幻觉,2001,剧情/科幻/悬疑,理查德·凯利,豆瓣7.4/IMDB8.1
200,火车怪客,1951,爱情/悬疑/惊悚,阿尔弗雷德·希区柯克,豆瓣7.8/IMDB8.1
201,复仇者联盟,2012,动作/科幻/奇幻,乔斯·韦登,豆瓣8.0/IMDB8.2
202,蜘蛛巢城,1957,剧情/动作/惊悚,黑泽明,豆瓣8.4/IMDB8.2
203,荒蛮故事,2014,剧情/喜剧/犯罪,达米安·斯兹弗隆,豆瓣8.7/IMDB8.1
204,侏罗纪公园,1993,科幻/冒险,史蒂文·斯皮尔伯格,豆瓣7.9/IMDB8.1
205,爱在黎明破晓前,1995,剧情/爱情,理查德·林克莱特,豆瓣8.7/IMDB8.1
206,阿尔及尔之战,1966,剧情/历史/战争,吉洛·彭特克沃,豆瓣8.5/IMDB8.2
207,十二猴子,1995,科幻/悬疑/惊悚,特瑞·吉列姆,豆瓣8.0/IMDB8.1
208,无间道,2002,悬疑/惊悚/犯罪,刘伟强,豆瓣8.9/IMDB8.1
209,银河护卫队,2014,喜剧/动作/科幻,詹姆斯·古恩,豆瓣8.0/IMDB8.1
210,芬妮与亚历山大,1982,剧情/悬疑/奇幻,英格玛·伯格曼,豆瓣8.7/IMDB8.2
211,终结者,1984,动作/科幻/惊悚,詹姆斯·卡梅隆,豆瓣7.9/IMDB8.1
212,大白鲨,1975,剧情/惊悚/灾难,史蒂文·斯皮尔伯格,豆瓣7.6/IMDB8.1
213,杀人回忆,2003,剧情/悬疑/惊悚,奉俊昊,豆瓣8.5/IMDB8.1
214,土拨鼠之日,1993,剧情/喜剧/爱情,哈罗德·雷米斯,豆瓣8.5/IMDB8.1
215,怪兽电力公司,2001,喜剧/动画/儿童,彼特·道格特,豆瓣8.5/IMDB8.1
216,哈利·波特与死亡圣器(下),2011,剧情/悬疑/奇幻,大卫·叶茨,豆瓣8.6/IMDB8.1
217,正午,1952,剧情/西部,弗雷德·金尼曼,豆瓣8.3/IMDB8.1
218,巴里·林登,1975,剧情/爱情/战争,斯坦利·库布里克,豆瓣8.6/IMDB8.1
219,洛奇,1976,剧情/爱情/运动,约翰·G·艾维尔森,豆瓣8.5/IMDB8.1
220,楚门的世界,1998,剧情/科幻,彼得·威尔,豆瓣8.9/IMDB8.1
221,热天午后,1975,剧情/喜剧/犯罪,西德尼·吕美特,豆瓣8.6/IMDB8.1
222,国王的演讲,2010,剧情/传记/历史,汤姆·霍珀,豆瓣8.3/IMDB8.1
223,叶问,2008,剧情/动作/传记,叶伟信,豆瓣7.6/IMDB8.1
224,模仿游戏,2014,剧情/同性/传记,莫滕·泰杜姆,豆瓣8.5/IMDB8.1
225,怒火青春,1995,剧情/犯罪,马修·卡索维茨,豆瓣8.2/IMDB8.1
226,美人计,1946,剧情/爱情/惊悚,阿尔弗雷德·希区柯克,豆瓣7.8/IMDB8.1
227,荒野大镖客,1964,动作/西部,赛尔乔·莱翁内,豆瓣8.3/IMDB8.1
228,加勒比海盗,2003,动作/奇幻/冒险,戈尔·维宾斯基,豆瓣8.5/IMDB8.1
229,灵欲春宵,1966,剧情,迈克·尼科尔斯,豆瓣7.9/IMDB8.1
230,天空之城,1986,动画/奇幻/冒险,宫崎骏,豆瓣9.0/IMDB8.1
231,罗马假日,1953,剧情/喜剧/爱情,威廉·惠勒,豆瓣8.9/IMDB8.1
232,相助,2011,剧情,泰特·泰勒,豆瓣8.8/IMDB8.1
233,囚徒,2013,剧情/悬疑/犯罪,丹尼斯·维伦纽瓦,豆瓣7.9/IMDB8.1
234,猎人之夜,1955,惊悚/犯罪/黑色电影,查尔斯·劳顿,豆瓣7.9/IMDB8.1
235,大路,1954,剧情,费德里科·费里尼,豆瓣8.9/IMDB8.1
236,地下,1995,剧情/喜剧/战争,埃米尔·库斯图里卡,豆瓣9.1/IMDB8.2
237,春夏秋冬又一春,2003,剧情/情色,金基德,豆瓣8.5/IMDB8.1
238,X战警：逆转未来,2014,动作/科幻/冒险,布莱恩·辛格,豆瓣8.2/IMDB8.0
239,美女与野兽,1991,喜剧/爱情/动画,加里·特洛斯达勒,豆瓣8.2/IMDB8.0
240,独行杀手,1967,剧情/悬疑/惊悚,让-皮埃尔·梅尔维尔,豆瓣8.4/IMDB8.1
241,夜长梦多,1946,悬疑/惊悚/犯罪,霍华德·霍克斯,豆瓣7.4/IMDB8.1
242,爱在日落黄昏时,2004,剧情/爱情,理查德·林克莱特,豆瓣8.7/IMDB8.1
243,杀手,1956,惊悚/犯罪/黑色电影,斯坦利·库布里克,豆瓣8.5/IMDB8.1
244,蓝白红三部曲之红,1994,剧情/爱情,克日什托夫·基耶斯洛夫斯基,豆瓣8.7/IMDB8.1
245,印度往事,2001,剧情/爱情/歌舞,阿素托史·哥瓦力克,豆瓣7.7/IMDB8.2
246,巴比龙,1973,剧情/传记/犯罪,富兰克林·沙夫纳,豆瓣8.7/IMDB8.1
247,瓦塞浦黑帮(上),2012,剧情/动作/犯罪,阿努拉格·卡施亚普,豆瓣6.7/IMDB8.4
248,兰闺惊变,1962,剧情/惊悚,罗伯特·奥尔德里奇,豆瓣8.1/IMDB8.1
249,江湖浪子,1961,剧情/爱情/运动,罗伯特·罗森,豆瓣7.7/IMDB8.1
250,毕业生,1967,剧情/喜剧/爱情,迈克·尼科尔斯,豆瓣7.9/IMDB8.0
