羞耻,史蒂夫·麦奎因,豆瓣7.2/IMDB7.3,2011,2012 提名,剧情/情色
触不可及,奥利维·那卡什,豆瓣9.1/IMDB8.6,2011,2012 提名,剧情/喜剧
狩猎,托马斯·温特伯格,豆瓣9.0/IMDB8.3,2012,2012 提名,剧情
芭芭拉,克利斯蒂安·佩措尔德,豆瓣7.3/IMDB7.1,2012,2012 提名,剧情
爱,迈克尔·哈内克,豆瓣8.5/IMDB7.8,2012,2012 最佳影片,剧情/爱情
阿黛尔的生活,阿布戴·柯西胥,豆瓣8.3/IMDB7.9,2013,2013 提名,剧情/爱情/同性
啊，男孩,杨·奥雷·格斯特,豆瓣7.7/IMDB7.4,2012,2013 提名,剧情
最佳出价,朱塞佩·托纳多雷,豆瓣8.2/IMDB7.8,2013,2013 提名,剧情/爱情/悬疑
破碎之家,菲力斯·范·古宁根,豆瓣7.5/IMDB7.8,2012,2013 提名,剧情/爱情/家庭
白雪公主斗牛记,帕布罗·伯格,豆瓣7.6/IMDB7.5,2012,2013 提名,剧情
绝美之城,保罗·索伦蒂诺,豆瓣7.9/IMDB7.7,2013,2013 提名,剧情
冬眠,努里·比格·锡兰,豆瓣8.0/IMDB8.2,2014,2014 提名,剧情
女性瘾者：第二部,拉斯·冯·提尔,豆瓣7.7/IMDB6.7,2013,2014 提名,剧情/情色
女性瘾者：第一部,拉斯·冯·提尔,豆瓣7.6/IMDB7.0,2013,2014 提名,剧情/情色
利维坦,安德烈·萨金塞夫,豆瓣7.7/IMDB7.6,2014,2014 提名,剧情
游客,鲁本·奥斯特伦德,豆瓣7.4/IMDB7.3,2014,2014 提名,剧情/家庭
修女艾达,保罗·帕夫利克夫斯基,豆瓣7.7/IMDB7.4,2013,2014 最佳影片,剧情
年轻气盛,保罗·索伦蒂诺,豆瓣8.1/IMDB7.4,2015,2015 最佳影片,剧情
龙虾,欧格斯·兰斯莫斯,豆瓣7.5/IMDB7.1,2015,2015 提名,剧情/喜剧/爱情
野马,蒂尼斯·艾葛温,豆瓣7.9/IMDB7.7,2015,2015 提名,剧情
寒枝雀静,罗伊·安德森,豆瓣7.7/IMDB7.0,2014,2015 提名,剧情/喜剧
公羊,格里莫·哈克纳尔森,豆瓣7.3/IMDB7.4,2015,2015 提名,剧情
维多利亚,塞巴斯蒂安·施普尔,豆瓣7.1/IMDB7.7,2015,2015 提名,剧情/惊悚/犯罪
