序号,电影名,年份,类型,导演,评分
157,末路狂花,1991,剧情/惊悚/犯罪,雷德利·斯科特,豆瓣8.6/IMDB7.4
158,牯岭街少年杀人事件,1991,剧情/犯罪,杨德昌,豆瓣8.6/IMDB8.3
159,不一样的天空,1993,剧情/爱情/家庭,莱塞·霍尔斯道姆,豆瓣8.6/IMDB7.8
160,重庆森林,1994,剧情/爱情,王家卫,豆瓣8.6/IMDB8.1
161,非常嫌疑犯,1995,剧情/悬疑/惊悚,布莱恩·辛格,豆瓣8.6/IMDB8.6
162,洛城机密,1997,剧情/悬疑/惊悚,柯蒂斯·汉森,豆瓣8.6/IMDB8.3
163,西西里的美丽传说,2000,剧情/情色/战争,朱塞佩·托纳多雷,豆瓣8.6/IMDB7.5
164,人工智能,2001,剧情/科幻/冒险,史蒂文·斯皮尔伯格,豆瓣8.6/IMDB7.1
165,怪兽电力公司,2001,喜剧/动画/儿童,彼特·道格特,豆瓣8.5/IMDB8.1
166,蝴蝶,2002,剧情/喜剧/儿童,费利普·弥勒,豆瓣8.6/IMDB7.2
167,致命ID,2003,剧情/悬疑/惊悚,詹姆斯·曼高德,豆瓣8.6/IMDB7.3
168,杀人回忆,2003,剧情/悬疑/惊悚,奉俊昊,豆瓣8.5/IMDB8.1
169,加勒比海盗,2003,动作/奇幻/冒险,戈尔·维宾斯基,豆瓣8.5/IMDB8.1
171,幸福终点站,2004,剧情/喜剧/爱情,史蒂文·斯皮尔伯格,豆瓣8.6/IMDB7.3
172,撞车,2004,剧情/犯罪,保罗·哈吉斯,豆瓣8.6/IMDB7.9
173,可可西里,2004,剧情,陆川,豆瓣8.6/IMDB7.7
174,我们俩,2005,剧情,马俪文,豆瓣8.6/IMDB7.3
175,叫我第一名,2008,剧情/传记,彼得·沃纳,豆瓣8.6/IMDB8.2
176,海盗电台,2009,剧情/喜剧/音乐,理查德·柯蒂斯,豆瓣8.7/IMDB7.4
177,巴黎淘气帮,2009,喜剧/家庭/儿童,劳伦·泰拉德,豆瓣8.6/IMDB7.2
178,阿凡达,2009,动作/科幻/奇幻,詹姆斯·卡梅隆,豆瓣8.6/IMDB7.9
179,禁闭岛,2010,剧情/悬疑/惊悚,马丁·斯科塞斯,豆瓣8.6/IMDB8.1
180,岁月神偷,2010,剧情/家庭,罗启锐,豆瓣8.6/IMDB7.4
181,告白,2010,剧情/惊悚,中岛哲也,豆瓣8.6/IMDB7.9
182,哈利·波特与死亡圣器(下),2011,剧情/悬疑/奇幻,大卫·叶茨,豆瓣8.6/IMDB8.1
183,时空恋旅人,2013,剧情/爱情/奇幻,理查德·柯蒂斯,豆瓣8.5/IMDB7.8
184,达拉斯买家俱乐部,2013,剧情/同性,让-马克·瓦雷,豆瓣8.6/IMDB8.0
185,心迷宫,2014,剧情/悬疑/犯罪,忻钰坤,豆瓣8.6/IMDB7.9
186,爆裂鼓手,2014,剧情/音乐,达米安·沙泽勒,豆瓣8.6/IMDB8.5
187,超能陆战队,2014,喜剧/动作/科幻,唐·霍尔,豆瓣8.6/IMDB7.9
188,E.T. 外星人,1982,剧情/科幻/奇幻,史蒂文·斯皮尔伯格,豆瓣8.5/IMDB7.9
189,倩女幽魂,1987,剧情/爱情/武侠,程小东,豆瓣8.5/IMDB7.6
190,阿飞正传,1990,剧情/爱情/犯罪,王家卫,豆瓣8.5/IMDB7.6
191,终结者2,1991,动作/科幻,詹姆斯·卡梅隆,豆瓣8.5/IMDB8.5
192,东邪西毒,1994,剧情/动作/爱情,王家卫,豆瓣8.5/IMDB7.2
193,廊桥遗梦,1995,剧情/爱情,克林特·伊斯特伍德,豆瓣8.5/IMDB7.5
194,猜火车,1996,剧情/犯罪,丹尼·博伊尔,豆瓣8.5/IMDB8.2
195,勇闯夺命岛,1996,动作/冒险,迈克尔·贝,豆瓣8.5/IMDB7.4
196,偷拐抢骗,2000,喜剧/犯罪,盖·里奇,豆瓣8.5/IMDB8.3
197,记忆碎片,2000,剧情/悬疑/惊悚,克里斯托弗·诺兰,豆瓣8.5/IMDB8.5
198,哈利·波特与魔法石,2001,奇幻/冒险,克里斯·哥伦布,豆瓣8.5/IMDB7.5
199,麦兜故事,2001,剧情/喜剧/动画,袁建滔,豆瓣8.5/IMDB7.4
200,谍影重重,2002,动作/悬疑/冒险,道格·里曼,豆瓣8.4/IMDB7.9
201,真爱至上,2003,剧情/喜剧/爱情,理查德·柯蒂斯,豆瓣8.5/IMDB7.7
202,恋恋笔记本,2004,剧情/爱情,尼克·卡索维茨,豆瓣8.5/IMDB7.9
203,谍影重重2,2004,动作/悬疑/冒险,保罗·格林格拉斯,豆瓣8.5/IMDB7.8
204,断背山,2005,剧情/爱情/同性,李安,豆瓣8.5/IMDB7.7
205,战争之王,2005,剧情/犯罪,安德鲁·尼科尔,豆瓣8.5/IMDB7.6
206,血钻,2006,剧情/冒险,爱德华·兹威克,豆瓣8.4/IMDB8.0
207,秒速5厘米,2007,剧情/爱情/动画,新海诚,豆瓣8.5/IMDB7.9
208,这个男人来自地球,2007,剧情/科幻,理查德·沙因克曼,豆瓣8.5/IMDB8.0
209,遗愿清单,2007,剧情/喜剧/冒险,罗伯·莱纳,豆瓣8.5/IMDB7.4
210,贫民窟的百万富翁,2008,剧情/爱情,丹尼·博伊尔,豆瓣8.5/IMDB8.0
